OBJECTID,ID,CODIGO_DANE,NOMBRE,ULTIMO_TIPO_ACTO_ADMIN,ULTIMO_NUMERO_ACTO_ADMIN,ULTIMA_FECHA_ACTO_ADMIN,AREA_TOTAL_ACTOS_ADMIN,ULTIMO_NUMERO_PLANO,PUEBLO,DEPARTAMENTO,MUNICIPIO,GlobalID
1,10254,1212,Resguardo Indígena Embera Buchado Amparrado,RESOLUCION,0001,1990/01/15 00:00:00+00,8530,198.890 de julio de 1989,EMBERA,27,27099,{94B65BD4-861D-439F-BADF-7163B8E0F87D}
2,10138,18756,"Resguardo Indígena Coreguaje Asentada en la Regiones De Puerto Naranjo, Peñas Rojas, Cuerazo, El Diamante",RESOLUCION,252,2011/06/19 00:00:00+00,3618.97938,plano No. 10-0-00605,COREGUAJE,18,18756,{9FE262F9-1DED-4CA6-87F5-920D51E65204}
3,10303,1255,Resguardo Indígena Embera de Peña Blanca - Rio Truando,RESOLUCION,0040,1992/08/03 00:00:00+00,58180,P - 466.215,EMBERA KATIO,27,27615,{AFE447A1-16EE-4108-8675-195F3858A847}
4,10102,1066,Resguardo Unido U´Wa Cubara De Tunebo,RESOLUCION,1520,2001/07/13 00:00:00+00,281431,no registra,U´WA,15,15223,{901DA38E-67B0-4D46-A172-505D74FB1825}
5,10792,1863,Resguardo Indígena Omaga,ACUERDO,110,2019/12/20 00:00:00+00,27.7693,SIN INFORMACION,ZENÚ,05,05120,{D9E1525C-C1A9-453B-A3E7-18A2331551DA}
6,11642,SIN ASIGNAR,Resguardo Indígena Vinollanogrande,ACUERDO,347,2023/12/22 00:00:00+00,40.6654,ACCTI 0231737652023,PIJAO,73,73675,{4D6F570A-34DD-42F5-8B74-5557FB42FE82}
7,10383,1277,Resguardo Indígena Guahibo -Puinave de Laguna Curvina - Sapuara,RESOLUCION,0036,1987/05/13 00:00:00+00,3350,P-198.654,GUAHIBO PUINAVE,94,94343,{6C09C57A-B28D-47E0-AE6F-CF44A368E1ED}
8,10756,1476,Resguardo Indígena Piapoco de Kawaneruba,RESOLUCION,501,2025/07/30 00:00:00+00,11267.2251,ACCTI024997734148,PIAPOCO,99,99773,{D76C3A9A-35A2-4591-970E-24FD063148AA}
9,10912,1901,Resguardo Indígena San Miguel,ACUERDO,178,2021/09/23 00:00:00+00,316.2468,ACCTI 41396872,NASA,41,41396,{5FDFDC8E-E42D-494A-AD0E-56514B636869}
10,10652,1546,Resguardo Indígena Pijao de Hilarquito,RESOLUCION,0018,1999/05/05 00:00:00+00,105.4358,i-579.527,PIJAO,73,73217,{DBDAD966-2E00-417F-83DF-654627E4DBC0}
11,10310,1193,Resguardo Indígena Embera de Puerto Alegre y La Divisa,RESOLUCION,0042,1988/07/21 00:00:00+00,22365,P-198.781,EMBERA,27,27077,{6C4A1D29-51C9-466A-9B37-D87768705076}
12,10770,1484,Resguardo Indígena Embera Embera y Piapoco de los Rios Muco y Guarrojo,RESOLUCION,30/07/2025,2025/07/30 00:00:00+00,85950.4768,P-168.648,GUAHIBO,99,99001,{E8030B46-A5AF-44D9-A383-E24D053F9074}
13,10301,1674,Resguardo Indígena Embera de Pared y Parecito,RESOLUCION,0018,2003/04/10 00:00:00+00,1846.3692,I - 630.406,EMBERA,27,27160,{28CC60FE-E15D-4D1E-947E-45BFAFB37B62}
14,10460,1830,Resguardo Indígena Nuevo Espinal,ACUERDO,36,2017/12/11 00:00:00+00,421.984,ACCTI 4407815,WAYUU,44,44078,{DF32D516-381C-478A-97C5-4EB18BD3AD16}
15,11774,,Resguardo Indígena Nuevo Porvenir del Pueblo Zenú,ACUERDO,473,2025/04/30 00:00:00+00,30,ACCTI023236721398,ZENÚ,23,23672,{43FD1AFB-09AB-44E1-9D64-EF78352727B5}
16,10139,1086,Resguardo Indígena inga de San Antonio Del Fragua,RESOLUCION,96,1982/07/27 00:00:00+00,1411.4905,229201,INGA,18,18094,{A94CE6A2-E5A3-4B98-871C-1F8F00D5D317}
17,10445,1316,"Resguardo Indígena Wayuu de El Zaino, Guayabito y Muriaytuy",RESOLUCION,0090,1986/05/11 00:00:00+00,1175.0192,B-113.329,WAYUU,44,44078,{993672F7-33B5-49F7-BDD4-6BFAE7A3E585}
18,10131,1152,Resguardo Indígena Inga de Las Brisas,RESOLUCION,162,2021/05/10 00:00:00+00,192.5053,ACCTI 19533568,INGA,18,18610,{9778AA2C-B29A-4220-A400-8C0E83EEA9DA}
19,10771,1487,Resguardo Indígena Guahibo de Los Rios Tomo y Los Caños Urimica y Samarro,RESOLUCION,46,1983/07/21 00:00:00+00,25100,229317,GUAHIBO,99,99773,{613389FC-48E3-4F47-8CEF-F04526BD5538}
20,11693,SIN ASIGNAR,Resguardo Indigena El Redentor De Marañonal,RESOLUCION,295,2023/09/25 00:00:00+00,27.2322,ACCTI 235551894,ZENU,23,23555,{6A3F6189-FD38-4781-9E0F-4162A27CD0A0}
21,10620,1827,Resguardo Indígena Flor Del Monte,ACUERDO,0023,2017/06/27 00:00:00+00,18.6,017994AE66088,EMBERA CHAMI,66,66088,{3314F060-606F-4083-8C78-F7D66494B098}
22,10464,1190,Resguardo Indígena Kogui - Malayo y Arhuaco,RESOLUCION,274,2023/06/19 00:00:00+00,410855.7605,ACCTI 440901849,KOGUI MALAYO ARHUACO,47,47001,{CA90719D-F86A-45A6-8DBC-381FDD92EE47}
23,10242,1191,Resguardo Indígena Embera  Aguaclara Y Bella Luz Del Rio Amporá,RESOLUCION,0023,1989/04/10 00:00:00+00,9850,"P-198,841",EMBERA,27,27025,{BCFEEC23-AA6B-4A87-A709-8ED27CF95A05}
24,10403,1308,Resguardo Indígena de Corocoro,RESOLUCION,0105,1988/12/12 00:00:00+00,33500,"198,845",CURRIPACO Y OTROS,95,95001,{234E544F-1316-4ED2-9807-F7F5202227F9}
25,10002,1644,Resguardo Indigena de Camaritagua,RESOLUCION,114,2020/01/28 00:00:00+00,30654.1423,ACCTI 91407200,"YUCUNA, MIRAÑA, TAMINUCA Y OTROS",91,91407,{E7379D88-39D9-4933-B44D-FA642DCD1F51}
26,10057,1047,Resguardo Indígena Embera del Rio Jarapeto,RESOLUCION,0016,1984/02/28 00:00:00+00,5583.75,264240,EMBERA,05,05847,{FBC06857-B05B-4630-928C-215B82204A8F}
27,10592,1406,Resguardo Indígena Inga La Paya,RESOLUCION,0003,1996/05/24 00:00:00+00,5679,P-466.386,INGA,86,86573,{3A1FA3C5-DA3F-43A7-A3BB-573D2543C161}
28,10046,1613,"Resguardo Indígena Embera - Catio de ""El Pital"" - Narikizavi",RESOLUCION,0001,2001/02/20 00:00:00+00,274.1222,I-598-295,EMBERA KATIO,05,05234,{3ED08221-93A6-42D0-85F1-9899A338A33C}
29,10127,1073,Resguardo Indígena Paez de La Esperanza,RESOLUCION,0012,1995/04/05 00:00:00+00,1278.1,b-558.415,PAEZ,18,18094,{9EF16CBF-2A44-42BB-813B-FD81C36A2AD9}
30,10352,1232,Resguardo Indígena Waunana - Paraje de Tiosilidio,RESOLUCION,0011,1983/05/03 00:00:00+00,4560,262714,WAUNANA,27,27361,{0768B2F7-6141-41A9-89AC-C8D10630F78E}
31,10571,1689,Resguardo Indígena Awa de Damasco Vides,RESOLUCION,0033,2003/04/10 00:00:00+00,834.3761,B-421.811 de mayo de 1999,AWA,86,86569,{091635C8-A857-4A1A-9940-8C65D041E33B}
32,10330,1260,Resguardo Indígena Embera-Katio y Waunana del Rio Quiparado,RESOLUCION,0061,1983/09/21 00:00:00+00,9860,P-198-500,EMBERA KATIO WUANANA,27,27615,{3784DE32-DA6E-4461-94E4-217C5CECAAD4}
33,10535,1778,Resguardo Indígena Rumiyaco,RESOLUCION,0274,2012/01/31 00:00:00+00,4127.5162,52-0356-02289,PASTOS,52,52356,{D05633C9-487C-469F-8CC1-20B723B641A5}
34,10195,1119,Resguardo Indígena Paez de Las Delicias,RESOLUCION,165,2021/06/02 00:00:00+00,1676.3889,ACCTI 19698629,PAEZ,19,19110,{299A3452-36FB-4CC7-8B98-6FE73E66AF25}
35,10665,1713,Resguardo Indígena de Natacoy Pijao,RESOLUCION,0021,2003/07/22 00:00:00+00,203.9988,P-652.142,PIJAO,73,73483,{4488C75B-3061-425C-AFC8-1C7A2CAAFD15}
36,10226,1668,Resguardo Indígena Inga San Joaquin,RESOLUCION,0011,2003/04/10 00:00:00+00,137.5373,R-647.056,INGA,19,19701,{39D61F77-A185-4F72-B538-815EE9FC2A63}
37,10142,1080,Resguardo Indígena Coreguaje de Jacome,ACUERDO,453,2024/12/19 00:00:00+00,1003.0961,ACCTI02418460941,COREGUAJE,18,18460,{9EBA0516-A40E-4531-8FDC-584A3588FA54}
38,10710,1608,Resguardo Indígena Pijao de Zaragoza Tamarindo,RESOLUCION,0053,2000/12/18 00:00:00+00,98.5386,I-578.042,PIJAO,73,73217,{889A81DF-96AA-416A-B876-2E3E26CC8CAA}
39,10667,1417,Resguardo Indígena Pijao Nueva Esperanza,RESOLUCION,0050,1997/12/10 00:00:00+00,414.6591,I-578.317,PIJAO,73,73217,{53EF77B1-0F42-459B-B686-5CF45479F838}
40,10153,1108,Resguardo Indígena Saliva asentada en el Paraje El Consejo,RESOLUCION,98,1982/07/27 00:00:00+00,4583,228424,SALIVA,85,85230,{80D752BD-2C41-4496-A7D7-B1AE43A33CCD}
41,10453,1321,Resguardo Indígena Wayuu de Potrerito,RESOLUCION,0053,1997/12/18 00:00:00+00,36.1785,"582,554",WAYUU,44,44098,{454B4CE0-0EBF-4FB2-B2A9-D09CD81CDC0D}
42,10075,1246,Resguardo Indígena El Noventa,RESOLUCION,77,2018/10/25 00:00:00+00,169.6384,ACCTI 05250213 de Octubre 2017,Zenú,05,05250,{1267F977-BB08-4493-8D65-02F42C30A96C}
43,10245,1240,Resguardo Indígena Embera de Alto Rio Buey,RESOLUCION,0023,1986/04/30 00:00:00+00,13151.25,P-198-606,EMBERA,27,27001,{0A5930DF-E862-481B-B469-80D6C246209A}
44,10626,1741,Resguardo Indígena Pijao de Balsillas,RESOLUCION,0085,2025/10/16 00:00:00+00,140.1997,10-0-00043 de junio de 2006,PIJAO,73,ORTEGA,{BEF1C0A7-6259-4087-9038-09AEDE8B1A93}
45,10719,1534,Resguardo Indígena Embera Chami Dachi Drua Chami,RESOLUCION,0051,1998/11/30 00:00:00+00,54.3489,G-565.665,EMBERA CHAMI,76,76834,{4DD31199-8068-4256-B545-C63ECAD7D62B}
46,10243,1648,Resguardo Indígena Embera de  Alto Bonito Vira Vira,RESOLUCION,0016,2002/12/10 00:00:00+00,3691.375,I-630.279,EMBERA,27,27205,{6902500E-43D9-4EF1-B154-A79118EB1D79}
47,10326,1239,Resguardo Indígena Embera del Rio Pangui,RESOLUCION,0088,1982/07/27 00:00:00+00,7870,G-198.495,EMBERA,27,27495,{2B9FA7A6-58EF-4784-939B-08B5A132E9A5}
48,10329,1205,Resguardo Indígena Embera del Rio Purricha,RESOLUCION,0026,1992/07/13 00:00:00+00,15940,P-466.114,EMBERA,27,27077,{008B19E0-7DCB-4300-BA4B-07201BD9F255}
49,10712,1841,Resguardo Indígena Chenche Angostura,RESOLUCION,49,2018/03/05 00:00:00+00,41.0496,ACCTI 7321745,PIJAO,73,73217,{0E3A6B1A-1FEC-46EE-B64D-280CEB6344DB}
50,10602,1395,Resguardo Indígena Siona Santa Cruz De Pinuña Blanco,RESOLUCION,0059,1992/09/29 00:00:00+00,1990,P-466.275,SIONA,86,86568,{41D472CD-29EA-4692-B003-6F4FEA3B60EE}
51,10655,1438, Resguardo Indígena Pijao La Sortija,RESOLUCION,0024,1997/10/03 00:00:00+00,132.3443,I-578.038,PIJAO,73,73504,{07D15592-0AFD-4EA4-873A-C623628210B3}
52,10480,1552,"Resguardo Indígena Sikuani De Vencedor, Piriri, Guamito, Matanegra, Siniquiba, Sisiba, Lindatan, Chaparral y Remanso",ACUERDO,429,2024/12/10 00:00:00+00,50035.7404,ACCTI02450568906,SIKUANI,50,PUERTO GAITÁN,{1D17372E-3A1C-4FEB-8E52-665A5AF57CB1}
53,10020,1764,Resguardo Indígena Uitiboc,ACUERDO,0225,2010/10/26 00:00:00+00,95488.4377,10-0-4377,"UITOTO, TICUNA, BORA, COCAMA, OCAINA, INGANO, ANDOQUE",91,91001,{07C42648-0D28-41DD-9B5A-A33E0FB6A936}
54,11111,1887,Resguardo Indígena Tata Drua,ACUERDO,444,2024/12/19 00:00:00+00,14.6127,ACCTI02463548938,EMBERA CHAMI,63,63548,{9050DB7E-CE29-4FBF-AC7B-9100FA18537F}
55,11963,,Resguardo Indígena Bellavista del pueblo Zenú,ACUERDO,486,2025/06/18 00:00:00+00,2.5,ACCTI023702212662,ZENÚ,70,70221,{4DE9ED52-AFFC-4B2A-A976-0F6B4E226495}
56,11383,1016,Resguardo Indígena Ticuna de Zaragoza,ACUERDO,324,2023/12/18 00:00:00+00,48257.2145,ACCTI 024191012256,TICUNA,91,91001,{6DC861F4-B0B7-4A8D-A801-BD4A09FC9DC7}
57,11554,SIN ASIGNAR,Resguardo Indígena Kiloka Playa Verde,ACUERDO,345,2023/12/22 00:00:00+00,10.0837,ACCTI 023173042143,PIJAO,73,73504,{10750982-CEE5-458B-84FA-B7378FB0C7A3}
58,10680,1441,Resguardo Indígena Pijao de Recinto Palmarosa,RESOLUCION,0051,1995/10/17 00:00:00+00,375.8424,P-376.517,PIJAO,73,73504,{D24C270E-A664-4DE5-B934-983B298D1EE7}
59,10237,1669,Resguardo Indigena Kankuamo,RESOLUCION,236,2022/07/26 00:00:00+00,25008.1031,"ACCTI 200011318
ACCTI 200011319
ACCTI 200011320",KANKUAMO,20,20001,{F85207DB-2602-4771-BA8C-74669A9D2642}
60,10095,1062,Resguardo Indígena Guahibo - Parreros,RESOLUCION,0015,1985/02/20 00:00:00+00,207.1,P - 198.550,GUAHIBO,81,81794,{FEE1CCAD-A1D9-478F-BE5D-B9383D8CA5FF}
61,11776,SIN INFORMACION,Resguardo Indígena Nasa Kiwe Fxiw del pueblo Nasa,ACUERDO,434,2024/12/10 00:00:00+00,4.9557,ACCTI02395001909,NASA,95,95001,{AA1AC94D-37B7-4CC0-834F-7097BEF2CB4D}
62,10434,1312,Resguardo Indígena Tama - Paez La Gabriela,RESOLUCION,0006,1994/02/16 00:00:00+00,558.2508,R-61.346,TAMAS PAEZ,41,41001,{38A7EF93-2328-451D-A4D4-C957689A5724}
63,10175,1798,Resguardo Indígena de Guarapamba,ACUERDO,0334,2014/02/20 00:00:00+00,48.0219,19-0256-06775,KOKONUKO,19,19256,{CF43A7F1-8C38-4332-AFAE-A2284B9DE775}
64,10424,1813, Resguardo Indígena Nasa La Nueva Esperanza,ACUERDO,0008,2015/12/21 00:00:00+00,70.5151,017437AE41396,NASA,41,41396,{1F431281-F8A1-4786-9EBA-97BA501675D9}
65,10463,1327,Resguardo Indígena Chimilas O Cacahueros (Issa Oristuna),ACUERDO,341,2023/12/22 00:00:00+00,2670.5488,ACCTI 0241476602272,CHIMILAS,47,47660,{96392D77-5F5E-47C4-86EC-D07D266470C1}
66,11534,,Resguardo Indígena Caucapa Pungu  Floresta,ACUERDO,458,2025/02/26 00:00:00+00,2229.3376,ACCTI02319533952,INGA,19,19533,{947D2316-C280-4F7B-B051-D21DEDED0E63}
67,11568,1898,Resguardo Indígena Puerto Samaria,ACUERDO,244,2022/12/12 00:00:00+00,27.0826,ACCTI 735041250,PIJAO,73,73504,{7D8B307B-A7D7-4179-B520-E2125F361E6F}
68,10319,1258,Resguardo Indígena Embera del Rio Domingodo,RESOLUCION,0035,1983/07/21 00:00:00+00,24590,P-198.501,EMBERA,27,27615,{F7407FFC-0B84-4B59-859A-1E0C426DD214}
